|                        :vn-name |                       :name | :no-imgs | :no-vn-imgs | :train? |
|                 Bướm hải âu cam |                 Appias_nero |        4 |           4 |         |
|         Bướm rừng đuôi trái đào |             Zeuxidia_masoni |        4 |           4 |         |
|            Bướm phượng đuôi kem |              Papilio_noblei |        4 |           4 |         |
|         Bướm hoàng đế trằng sữa |             Neomyrina_nivea |        4 |           4 |         |
|         Bướm giáp nâu xanh nhạt |                Polyura_arja |        4 |           4 |         |
|               Bướm hổ bụng vàng |          Parantica_swinhoei |        4 |           4 |         |
|        Bướm chúa rừng nhiệt đới |      Stichophthalma_uemurai |        4 |           4 |         |
|             Bướm giáp cánh ngọc |             Polyura_delphis |        4 |           4 |         |
|           Bướm nam tước đuôi đỏ |              Euthalia_recta |        4 |           4 |         |
|                        Bướm khế |               Attacus_atlas |        4 |           4 |         |
|                    Bướm năm mắt |                Lethe_syrcis |        4 |           4 |         |
|        Bướm nhảy nâu chấm trắng |             Sovia_albipecta |        4 |           4 |         |
|        Bướm mắt rắn rừng thường |                Lethe_insana |        4 |           4 |         |
|                 Bướm cỏ nâu đen |       Nothodanis_schaeffera |        4 |           4 |         |
|         Bướm thầu dầu lông mượt |          Argyreus_hyperbius |        4 |           4 |         |
| Bướm phượng đuôi kiếm răng nhọn |          Teinopalpus_aureus |        4 |           4 |         |
|         Bướm hề đỏ thông thường |          Paralaxita_telesia |        4 |           4 |         |
|               Bướm nữ chúa rừng |       Stichophthalma_howqua |        4 |           4 |         |
|              Bướm bản đồ thường |           Cyrestis_themires |        4 |           4 |         |
|         Bướm phù thuỷ rừng xanh |                Hestina_nama |        4 |           4 |         |
|             Bướm cánh sọc trắng |                Neptis_clina |        4 |           4 |         |
|             Bướm mòng cánh vàng |               Cepora_iudith |        4 |           4 |         |
|              Bướm nâu cánh vàng | Celaenorrhinus_aurivittatus |        4 |           4 |         |
|                    Bướm tím lớn |            Terinos_clarissa |        4 |           4 |         |
|                     Bướm lá khô |              Kallima_alicia |        4 |           4 |         |
|     Bướm đuôi dài xanh lá chuối |               Argema_maenas |        4 |           4 |         |
|         Bướm đuôi kiếm bốn vạch |              Pathysa_agetes |        4 |           4 |         |
|          Bướm tím than hai đuôi |             Chliaria_othona |        4 |           4 |         |
|     Bướm phượng dài đuôi thường |           Atrophaneura_coon |        4 |           4 |         |
|           Bướm nam tước chấm đỏ |            Euthalia_evelina |        4 |           4 |         |
|         Bướm đen hai chấm trắng |         Lexias_albopunctata |        4 |           4 |         |
|              Bướm quạ miến điện |            Papilio_mahadeva |        4 |           4 |         |
|                    Bướm lá xanh |            Amblipodia_anita |        4 |           4 |         |
|          Bướm nâu sọc cánh vàng |                 Yoma_sabina |        4 |           4 |         |
|   Bướm mạo danh vạch ngang xanh |             Chilasa_slateri |        4 |           4 |         |
